rater_id	dataset	subject	rating	artifacts	time_sec	confidence	comments
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot019_task-rest_dir-RL_bold	2.55	"[""head-motion"",""ghost-aliasing""]"	271.456	2.9	WS, SD, aliasing ghost visible in bg of avg BOLD echo 1-4, HM ringing, FD peak induces carpetplot deflections
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot021_task-rest_dir-RL_bold	2.45	"[""head-motion"",""ghost-aliasing"",""uncategorized""]"	200.71	3.1	WS, SD, FD peaks, aliasing ghost visible in bg of avg BOLD echo 1-4
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-001_task-rest_dir-LR_bold	2.95	"[""head-motion"",""ghost-aliasing"",""uncategorized""]"	197.769	3.3	WS, SD, aliasing ghost faintly visible in bg of avg BOLD echo 2-3, HM ringing
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-003_task-rest_dir-LR_bold	2.65	"[""head-motion"",""noise-global"",""ghost-aliasing"",""uncategorized""]"	246.407	3.2	WS, SD, FD peaks followed by some deflections, HM ringing, aliasing ghost visible in bg of avg BOLD echo 2
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-004_task-rest_dir-RL_bold	2.65	"[""head-motion"",""noise-global"",""ghost-aliasing"",""uncategorized""]"	246.167	3.3	SD, WS, aliasing ghost visible in bg of avg BOLD echo 1-3, HM ringing
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-005_task-rest_dir-PA_bold	1.7	"[""wrap-around"",""ghost-aliasing"",""uncategorized""]"	406.609	3.25	wrap-around eyes that induces spurious high std close to and in the occipital lobe. Eyes do not overlap with GM but eye spillover induces high std, SD
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-006_task-rest_dir-PA_bold	1.85	"[""wrap-around"",""ghost-aliasing"",""uncategorized""]"	258.426	3.05	WS light, wrap-around eyesthat induces spurious high correlation close to occipital lobe, SD
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-007_task-rest_dir-LR_bold	2.65	"[""ghost-aliasing"",""uncategorized""]"	240.19	3.1	WS, SD, aliasing ghost visible in bg of avg BOLD echo 1-2
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-008_task-rest_dir-RL_bold	2.45	"[""noise-global"",""ghost-aliasing"",""uncategorized""]"	243.662	3.05	WS, std echo1 slice 30 std pattern looks artifactual, SD, aliasing ghost visible in bg of avg BOLD echo 1-4
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-010_task-rest_dir-RL_bold	2.7	"[""noise-global"",""ghost-aliasing"",""uncategorized""]"	155.568	3.2	WS, SD, aliasing ghost visible in bg of avg BOLD echo 1-3
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-011_task-rest_dir-AP_bold	1.85	"[""ghost-aliasing""]"	311.601	2.75	aliasing ghost visible in GM echo 1, SD
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-013_task-rest_dir-PA_bold	2.35	"[""wrap-around"",""ghost-aliasing"",""uncategorized""]"	209.665	2.5	wrap-around eyes, SD, WS light
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-015_task-rest_dir-AP_bold	1.9	"[""head-motion"",""ghost-aliasing"",""uncategorized""]"	269.552	2.85	SD, aliasing ghost visible in GM echo 1, FD peak, HM ringing
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-016_task-rest_dir-RL_bold	2.85	"[""noise-global"",""ghost-aliasing"",""uncategorized""]"	185.502	3.4	WS, SD, aliasing ghost visible in bg of avg BOLD echo 1-3
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-017_task-rest_dir-PA_bold	2.45	"[""wrap-around"",""ghost-aliasing"",""uncategorized""]"	453.899	2.6	wrap-around eyes, SD
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-019_task-rest_dir-PA_bold	2.35	"[""head-motion"",""wrap-around"",""ghost-aliasing"",""uncategorized""]"	237.203	3.15	wrap-around eyes that induces spurious high std close to occipital lobe, HM ringing, SD, FD peak that induces a bit of deflection in carpet plot, WS
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-020_task-rest_dir-RL_bold	2.65	"[""head-motion"",""ghost-aliasing"",""uncategorized""]"	247.751	3.05	WS, SD, FD peak induces short-lived deflection on carpetplot, aliasing ghost visible in bg of avg BOLD echo 1-4, HM ringing
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-021_task-rest_dir-RL_bold	2.6	"[""head-motion"",""noise-global"",""ghost-aliasing"",""uncategorized""]"	202.853	3.1	SD, WS, aliasing ghost visible in bg of avg BOLD echo 1-3, HM ringing
